> predicted='Iris-setosa' , actual='Iris-setosa'
> predicted='Iris-setosa' , actual='Iris-setosa'
> predicted='Iris-setosa' , actual='Iris-setosa'
> predicted='Iris-setosa' , actual='Iris-setosa'
> predicted='Iris-setosa' , actual='Iris-setosa'
> predicted='Iris-setosa' , actual='Iris-setosa'
> predicted='Iris-setosa' , actual='Iris-setosa'
> predicted='Iris-setosa' , actual='Iris-setosa'
> predicted='Iris-setosa' , actual='Iris-setosa'
> predicted='Iris-setosa' , actual='Iris-setosa'
> predicted='Iris-setosa' , actual='Iris-setosa'
> predicted='Iris-setosa' , actual='Iris-setosa'
> predicted='Iris-setosa' , actual='Iris-setosa'
> predicted='Iris-versicolor' , actual='Iris-versicolor'
> predicted='Iris-virginica' , actual='Iris-versicolor'
> predicted='Iris-versicolor' , actual='Iris-versicolor'
> predicted='Iris-versicolor' , actual='Iris-versicolor'
> predicted='Iris-versicolor' , actual='Iris-versicolor'
> predicted='Iris-versicolor' , actual='Iris-versicolor'
> predicted='Iris-versicolor' , actual='Iris-versicolor'
> predicted='Iris-versicolor' , actual='Iris-versicolor'
> predicted='Iris-versicolor' , actual='Iris-versicolor'
> predicted='Iris-versicolor' , actual='Iris-versicolor'
> predicted='Iris-versicolor' , actual='Iris-versicolor'
> predicted='Iris-versicolor' , actual='Iris-versicolor'
> predicted='Iris-versicolor' , actual='Iris-versicolor'
> predicted='Iris-virginica' , actual='Iris-virginica'
> predicted='Iris-virginica' , actual='Iris-virginica'
> predicted='Iris-virginica' , actual='Iris-virginica'
> predicted='Iris-virginica' , actual='Iris-virginica'
> predicted='Iris-virginica' , actual='Iris-virginica'
> predicted='Iris-virginica' , actual='Iris-virginica'
> predicted='Iris-virginica' , actual='Iris-virginica'
> predicted='Iris-virginica' , actual='Iris-virginica'
> predicted='Iris-virginica' , actual='Iris-virginica'
> predicted='Iris-virginica' , actual='Iris-virginica'
> predicted='Iris-virginica' , actual='Iris-virginica'
> predicted='Iris-virginica' , actual='Iris-virginica'
> predicted='Iris-virginica' , actual='Iris-virginica'
> predicted='Iris-virginica' , actual='Iris-virginica'
> predicted='Iris-virginica' , actual='Iris-virginica'
> predicted='Iris-virginica' , actual='Iris-virginica'
> predicted='Iris-virginica' , actual='Iris-virginica'
> predicted='Iris-virginica' , actual='Iris-virginica'
> predicted='Iris-virginica' , actual='Iris-virginica'
